Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-01-28T23:00:00,3554,125,80
Guangdong,Mainland China,2020-01-28T23:00:00,207,,4
Zhejiang,Mainland China,2020-01-28T23:00:00,173,,3
Henan,Mainland China,2020-01-28T23:00:00,168,1,
Hunan,Mainland China,2020-01-28T23:00:00,143,,
Chongqing,Mainland China,2020-01-28T23:00:00,132,,
Jiangxi,Mainland China,2020-01-28T23:00:00,109,,3
Anhui,Mainland China,2020-01-28T23:00:00,106,,
Shandong,Mainland China,2020-01-28T23:00:00,95,,
Beijing,Mainland China,2020-01-28T23:00:00,91,1,4
Sichuan,Mainland China,2020-01-28T23:00:00,90,,
Fujian,Mainland China,2020-01-28T23:00:00,80,,
Jiangsu,Mainland China,2020-01-28T23:00:00,70,,1
Shanghai,Mainland China,2020-01-28T23:00:00,66,1,4
Guangxi,Mainland China,2020-01-28T23:00:00,51,,2
Shaanxi,Mainland China,2020-01-28T23:00:00,46,,
Yunnan,Mainland China,2020-01-28T23:00:00,44,,
Hainan,Mainland China,2020-01-28T23:00:00,40,1,
Liaoning,Mainland China,2020-01-28T23:00:00,34,,
Hebei,Mainland China,2020-01-28T23:00:00,33,1,
Heilongjiang,Mainland China,2020-01-28T23:00:00,33,1,
Shanxi,Mainland China,2020-01-28T23:00:00,27,,
Tianjin,Mainland China,2020-01-28T23:00:00,24,,
Gansu,Mainland China,2020-01-28T23:00:00,19,,
Inner Mongolia,Mainland China,2020-01-28T23:00:00,15,,
Ningxia,Mainland China,2020-01-28T23:00:00,11,,
Xinjiang,Mainland China,2020-01-28T23:00:00,10,,
Guizhou,Mainland China,2020-01-28T23:00:00,9,,
Jilin,Mainland China,2020-01-28T23:00:00,8,,
Taiwan,Taiwan,2020-01-28T23:00:00,8,,
Hong Kong,Hong Kong,2020-01-28T23:00:00,8,,
Macau,Macau,2020-01-28T23:00:00,7,,
Qinghai,Mainland China,2020-01-28T23:00:00,6,,
Washington,US,2020-01-28T23:00:00,1,,
Illinois,US,2020-01-28T23:00:00,1,,
California,US,2020-01-28T23:00:00,2,,
Arizona,US,2020-01-28T23:00:00,1,,
,Japan,2020-01-28T23:00:00,7,,1
,Thailand,2020-01-28T23:00:00,14,,5
,South Korea,2020-01-28T23:00:00,4,,
,Singapore,2020-01-28T23:00:00,7,,
,Vietnam,2020-01-28T23:00:00,2,,
,France,2020-01-28T23:00:00,4,,
,Nepal,2020-01-28T23:00:00,1,,
,Malaysia,2020-01-28T23:00:00,4,,
Ontario,Canada,2020-01-28T23:00:00,1,,
British Columbia,Canada,2020-01-28T23:00:00,1,,
,Cambodia,2020-01-28T23:00:00,1,,
,Sri Lanka,2020-01-28T23:00:00,1,,
New South Wales,Australia,2020-01-28T23:00:00,4,,
Victoria,Australia,2020-01-28T23:00:00,1,,
Bavaria,Germany,2020-01-28T23:00:00,4,,
